Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10-Oct-25  09:24:52 RP,T026: seenut,st  :,,Demand,ed : Page,1,,
seenutst,,,,,,,,
Category: All Act,ivity,,,,,,,
Event location: O,n-Line,,,,,,,
Asset: *,,,,,,,,
Source: *,,,,,,,,
Description:,,,,,,,,
Operator:,,,,,,,,
Period: 09-Oct-25,08:24:52,to  10-Oct-25  09:,24:52,,,,,
Event file  1: 19,-Sep-25  06:,20:07  to  10-Oct-,25  09:,24:51,,,,
Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10/9/2025 8:41:44.172,270TT4740,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10/9/2025 8:41:46.650,250MHS4474,ChOfSt,,J 00,PU-402B L/OI,L CLR AX-01        STOPPE,D,
10/9/2025 8:42:18.709,250MHS4436,ChOfSt,,J 00,PU-408A S/OI,L HTR HE-01        RUNNIN,G,
10/9/2025 8:42:25.172,270TT4740,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:42:39.171,270TT4740,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10/9/2025 8:42:44.267,560MHS4423,ChOfSt,,J 00,PU401A SEAL,OIL HEATER         RUNNIN,G,
10/9/2025 8:43:19.171,270TT4740,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:44:13.791,260MHS4425,ChOfSt,,J 00,PU401B S OIL,HTR HE02          STOPPE,D,
10/9/2025 8:45:08.508,250MHS4424,ChOfSt,,J 00,PU-406B S/OI,L HTR HE-01        STOPPE,D,
10/9/2025 8:45:21.148,250MHS4482,ChOfSt,,J 00,PU-403B L/OI,L CLR AX-01        RUNNIN,G,
10/9/2025 8:46:22.910,250MHS4439,ChOfSt,,J 00,PU-408B S/OI,L CLR AX-02        STOPPE,D,
10/9/2025 8:46:40.691,260MHS4409,ChOfSt,,J 00,PU401C S OIL,CLR AX02          RUNNIN,G,
10/9/2025 8:47:15.741,260MHS4423,ChOfSt,,J 00,PU401A S OIL,HTR HE02          STOPPE,D,
10/9/2025 8:47:35.011,270MHS4407,ChOfSt,,J 00,PU401B SEAL,OIL CLR AX01       STOPPE,D,
10/9/2025 8:47:45.461,250MHS4440,ChOfSt,,J 00,PU-408B S/OI,L HTR HE-02        RUNNIN,G,
10/9/2025 8:47:57.696,270MHS4312,ChOfSt,,J 00,PU406B WW PM,P ST/SP            STOPPE,D,
10/9/2025 8:48:00.454,250TI4801,PVLOW,OK,H 00,EE402 ELEC S,HELTER #2          13.580,4    °C,
10/9/2025 8:48:18.171,270TT4740,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10/9/2025 8:48:57.172,270TT4740,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:49:05.208,250MHS4420,ChOfSt,,J 00,PU-406A S/OI,L HTR HE-01        STOPPE,D,
10/9/2025 8:49:06.301,250MHS4471,ChOfSt,,J 00,PU-402A L/OI,L HTR HE-01        STOPPE,D,
10/9/2025 8:49:36.171,270TT4740,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10/9/2025 8:49:44.957,250PX4021A,MntSn,OK,H 00,AO:250FIM_14,9_L2,,
10/9/2025 8:49:45.957,250PV4021A,MntSn,OK,H 00,RESOURCE:250,FIM_149_L2,,
10/9/2025 8:49:47.148,250MHS4482,ChOfSt,,J 00,PU-403B L/OI,L CLR AX-01        STOPPE,D,
10/9/2025 8:50:04.957,250PX4021A,MntSn,,H 00,AO:250FIM_14,9_L2,,
10/9/2025 8:50:05.957,250PV4021A,MntSn,,H 00,RESOURCE:250,FIM_149_L2,,
10/9/2025 8:50:15.171,270TT4740,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:50:29.171,270TT4741,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10/9/2025 8:50:30.170,270TT4740,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10/9/2025 8:51:09.170,270TT4741,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:51:10.171,270TT4740,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:51:10.501,STATION 7,DISPLAY C~,,,270l3014.htm,1.422,sec,J301 Thin~
10/9/2025 8:51:16.501,STATION 7,DISPLAY C~,,,270l3009.htm,0.828,sec,J301 Thin~
10/9/2025 8:51:24.171,270TT4741,HART Comm~,,J 00,CM401 BEARIN,G TEMP             ON,,
10/9/2025 8:51:28.801,STATION 7,DISPLAY C~,,,sysdtldaca_f,p.htm              13.031,sec,J301 Thin~
10/9/2025 8:51:45.348,250FIT4005,Loop Curr~,OK,J 00,,OFF,,
10/9/2025 8:52:01.348,250FIT4005,Loop Curr~,,J 00,,ON,,
10/9/2025 8:52:04.171,270TT4741,HART Comm~,OK,J 00,CM401 BEARIN,G TEMP             OFF,,
10/9/2025 8:52:09.690,260MHS4409,ChOfSt,,J 00,PU401C S OIL,CLR AX02          STOPPE,D,
10-Oct-25  09:24:52 RP,T026: seenut,st  :,,Demand,ed : Page,3,,
Time,Source,Condition,Action,Level,Description,Value,Units,Operator
10/9/2025 8:52:34.650,250MHS4474,ChOfSt,,J 00,PU-402B L/OI,L CLR AX-01        RUNNIN,G,
10/9/2025 8:52:49.707,250MHS4436,ChOfSt,,J 00,PU-408A S/OI,L HTR HE-01        STOPPE,D,
10/9/2025 8:52:58.463,270PI4058,PVLOW,,H 00,PU403B SUCT,PRESS              164.62,5    kPag,
10/9/2025 8:52:58.911,270MHS4052,OFFNRM,OK,J 00,270PI4058 PU,403B SUCT PRESS N~,,
10/9/2025 8:53:11.839,260MHS4427,ChOfSt,,J 00,PU401C S OIL,HTR HE02          RUNNIN,G,
10/9/2025 8:53:13.649,250MHS4416,ChOfSt,,J 00,PU-405B S/OI,L HTR HE-02        RUNNIN,G,
10/9/2025 8:53:27.460,250MHS4440,ChOfSt,,J 00,PU-408B S/OI,L HTR HE-02        STOPPE,D,
10/9/2025 8:53:27.901,CONSOLE ST,ATION~ DISPLAY C~,,,250l3007.htm,0.625,sec,Froth Ope~
10/9/2025 8:53:31.101,CONSOLE ST,ATION~ DISPLAY C~,,,250l3011.htm,0.828,sec,Froth Ope~
10/9/2025 8:53:33.601,STATION 7,DISPLAY C~,,,270l3010.htm,0.734,sec,J301 Thin~
10/9/2025 8:53:38.801,CONSOLE ST,ATION~ DISPLAY C~,,,sysdtlautoma,na_fp.htm          8.516,sec,Froth Ope~
10/9/2025 8:53:41.600,250FX4655A,CHANGE,,NONE,AUTOMANA.OP,10,%,Froth Ope~
10/9/2025 8:53:58.701,250FX4655A,CHANGE,,NONE,AUTOMANA.OP,12,%,Froth Ope~
10/9/2025 8:54:01.001,STATION 7,DISPLAY C~,,,270l3019.htm,0.609,sec,J301 Thin~
10/9/2025 8:54:03.598,250FV4655A,MntSn,,H 00,RESOURCE:250,FIM_119_L3,,
10/9/2025 8:54:10.001,250XHS4651,CHANGE,,NONE,devctla.mode,attr               OPERAT,OR,Froth Ope~
10/9/2025 8:54:10.101,250XHS4651,CHANGE,,NONE,devctla.mode,attr               OPERAT,OR,Froth Ope~
10/9/2025 8:54:10.101,CONSOLE ST,ATION~ DISPLAY C~,,,sysdtlvalve_,1_jun20_fp.htm     39.61,sec,Froth Ope~
10/9/2025 8:54:11.049,250MHS4407,ChOfSt,,J 00,PU-404B S/OI,L CLR AX-01        RUNNIN,G,
