unnamed: 0,time,location,source,condition,action,priority,description,value,operator,server,field time,source_sheet
,2025-10-15 12:22:26.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,8,Froth Operator,FTESV01,2025-10-15 12:22:26.201,Sheet2
,2025-10-15 12:22:27.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,10,Froth Operator,FTESV01,2025-10-15 12:22:27.201,Sheet2
,2025-10-15 12:22:29.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,12,Froth Operator,FTESV01,2025-10-15 12:22:29.201,Sheet2
,2025-10-15 12:22:30.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,14,Froth Operator,FTESV01,2025-10-15 12:22:30.401,Sheet2
,2025-10-15 12:22:31.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,16,Froth Operator,FTESV01,2025-10-15 12:22:31.201,Sheet2
,2025-10-15 12:22:32.201,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,18,Froth Operator,FTESV01,2025-10-15 12:22:32.201,Sheet2
,2025-10-15 12:22:33.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,20,Froth Operator,FTESV01,2025-10-15 12:22:33.401,Sheet2
,2025-10-15 12:22:34.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,22,Froth Operator,FTESV01,2025-10-15 12:22:34.501,Sheet2
,2025-10-15 12:22:35.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,24,Froth Operator,FTESV01,2025-10-15 12:22:35.301,Sheet2
,2025-10-15 12:22:36.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,26,Froth Operator,FTESV01,2025-10-15 12:22:36.501,Sheet2
,2025-10-15 12:22:38.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,28,Froth Operator,FTESV01,2025-10-15 12:22:38.701,Sheet2
,2025-10-15 12:22:39.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,30,Froth Operator,FTESV01,2025-10-15 12:22:39.701,Sheet2
,2025-10-15 12:22:40.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,28,Froth Operator,FTESV01,2025-10-15 12:22:40.701,Sheet2
,2025-10-15 12:25:39.701,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,30,Froth Operator,FTESV01,2025-10-15 12:25:39.701,Sheet2
,2025-10-15 12:25:40.301,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,32,Froth Operator,FTESV01,2025-10-15 12:25:40.301,Sheet2
,2025-10-15 12:25:56.700,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,34,Froth Operator,FTESV01,2025-10-15 12:25:56.700,Sheet2
,2025-10-15 12:25:57.300,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,36,Froth Operator,FTESV01,2025-10-15 12:25:57.300,Sheet2
,2025-10-15 12:27:01.401,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,38,Froth Operator,FTESV01,2025-10-15 12:27:01.401,Sheet2
,2025-10-15 12:27:04.101,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,40,Froth Operator,FTESV01,2025-10-15 12:27:04.101,Sheet2
,2025-10-15 12:30:44.500,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,42,Froth Operator,FTESV01,2025-10-15 12:30:44.500,Sheet2
,2025-10-15 12:30:45.501,Froth_Feed,250PIC4025,CHANGE,,,PIDA.OP,44,Froth Operator,FTESV01,2025-10-15 12:30:45.501,Sheet2
